原文(有{0}),翻譯
"{0}% increased [BuffMagnitude|Magnitude] of [NonDamagingAilments|Non-Damaging Ailments] you inflict","你所施加之[NonDamagingAilments|非傷害型異常狀態]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [NonDamagingAilments|Non-Damaging Ailments] you inflict","你所施加之[NonDamagingAilments|非傷害型異常狀態]的[BuffMagnitude|幅度]減少 {0}%"
"{0}% increased Effect of [NonDamagingAilments|Non-Damaging Ailments] on you","你身上的[NonDamagingAilments|非傷害型異常狀態]效果增加 {0}%"
"{0}% reduced Effect of [NonDamagingAilments|Non-Damaging Ailments] on you","你身上的[NonDamagingAilments|非傷害型異常狀態]效果減少 {0}%"
"{0}% increased [BuffEffect|effect] of [NonDamagingAilments|Non-Damaging Ailments] on you during Effect of any Life [Flask]","處於任何生命[Flask|藥劑]效果時，你身上的[NonDamagingAilments|非傷害型異常狀態][BuffEffect|效果]增加 {0}%"
"{0}% reduced [BuffEffect|effect] of [NonDamagingAilments|Non-Damaging Ailments] on you during Effect of any Life [Flask]","處於任何生命[Flask|藥劑]效果時，你身上的[NonDamagingAilments|非傷害型異常狀態][BuffEffect|效果]減少 {0}%"
"{0}% increased [BuffMagnitude|Magnitude] of [NonDamagingAilments|Non-Damaging Ailments] you inflict per {1} Devotion","每 {1} 奉獻使你所施加之[NonDamagingAilments|非傷害型異常狀態]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [NonDamagingAilments|Non-Damaging Ailments] you inflict per {1} Devotion","每 {1} 奉獻使你所施加之[NonDamagingAilments|非傷害型異常狀態]的[BuffMagnitude|幅度]減少 {0}%"
"{0}% increased [BuffMagnitude|Magnitude] of [NonDamagingAilments|Non-Damaging Ailments] you inflict with [Critical|Critical Hits]","你以[Critical|暴擊]施加之[NonDamagingAilments|非傷害型異常狀態]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [NonDamagingAilments|Non-Damaging Ailments] you inflict with [Critical|Critical Hits]","你以[Critical|暴擊]施加之[NonDamagingAilments|非傷害型異常狀態]的[BuffMagnitude|幅度]減少 {0}%"
"Projectiles have {0}% increased [Critical|Critical Hit] Chance against Targets they do not Pierce","投射物對其沒有穿透的目標增加 {0}% [Critical|暴擊]率"
"Projectiles have {0}% reduced [Critical|Critical Hit] Chance against Targets they do not Pierce","投射物對其沒有穿透的目標減少 {0}% [Critical|暴擊]率"
"Skills gain {0}% of Damage as [Chaos|Chaos Damage] per {1} Life Cost","技能每消耗 {1} 生命，獲得相當於傷害 {0}% 的[Chaos|混沌傷害]"
"[Gain] {0}% of Damage as [Chaos] Damage per Undead [Minion]","每擁有一個不死[Minion|召喚物]，[Gain|獲得]相當於傷害 {0}% 的[Chaos|混沌]傷害"
"[Attack|Attacks] [Gain] {0}% of Damage as Extra [Cold|Cold] Damage","[Attack|攻擊][Gain|獲得]相當於傷害 {0}% 的額外[Cold|冰冷]傷害"
"[Attack|Attacks] [Gain] {0}% of Damage as Extra [Fire|Fire] Damage","[Attack|攻擊][Gain|獲得]相當於傷害 {0}% 的額外[Fire|火焰]傷害"
"[Attack|Attacks] [Gain] {0}% of Damage as Extra [Lightning|Lightning] Damage","[Attack|攻擊][Gain|獲得]相當於傷害 {0}% 的額外[Lightning|閃電]傷害"
"{0}% of [ElementalDamage|Elemental Damage] [Conversion|Converted] to [Chaos] Damage","將 {0}% 的[ElementalDamage|元素傷害][Conversion|轉換]為[Chaos|混沌]傷害"
"{0}% of [ElementalDamage|Elemental Damage] [Conversion|Converted] to [Cold] Damage","將 {0}% 的[ElementalDamage|元素傷害][Conversion|轉換]為[Cold|冰冷]傷害"
"{0}% of [ElementalDamage|Elemental Damage] [Conversion|Converted] to [Fire] Damage","將 {0}% 的[ElementalDamage|元素傷害][Conversion|轉換]為[Fire|火焰]傷害"
"{0}% of [ElementalDamage|Elemental Damage] [Conversion|Converted] to [Lightning] Damage","將 {0}% 的[ElementalDamage|元素傷害][Conversion|轉換]為[Lightning|閃電]傷害"
"{0}% of [Fire] Damage [Conversion|Converted] to [Cold] Damage","將 {0}% 的[Fire|火焰]傷害[Conversion|轉換]為[Cold|冰冷]傷害"
"{0}% of Fire Damage Converted to Lightning Damage","{0}% 的火焰傷害轉換為閃電傷害"
"{0}% of [Physical] Damage [Conversion|Converted] to [Chaos] Damage per Level","每級將 {0}% 的[Physical|物理]傷害[Conversion|轉換]為[Chaos|混沌]傷害"
"[Attack|Attacks] [Gain] {0}% of [Physical|Physical] Damage as extra [Chaos|Chaos] Damage","[Attack|攻擊][Gain|獲得]相當於[Physical|物理]傷害 {0}% 的額外[Chaos|混沌]傷害"
"[Gain] {0}% of [Cold] Damage as Extra [Fire] Damage against [Freeze|Frozen] Enemies","針對[Freeze|冰凍]的敵人時，[Gain|獲得]相當於 {0}% [Cold|冰冷]傷害的額外[Fire|火焰]傷害"
"{0}% of Lightning Damage with [Attack] Skills Converted to Chaos Damage","將 {0}% 的[Attack|攻擊]技能閃電傷害轉換為混沌傷害"
"Gain {0}% of [Lightning|Lightning] Damage as [Chaos|Chaos] Damage per [Charges|Power Charge]","每有一個[Charges|暴擊球]，獲得相當於 {0}% [Lightning|閃電]傷害的[Chaos|混沌]傷害"
"[Gain] {0}% of [Lightning] Damage as Extra [Cold] Damage against [Chill|Chilled] Enemies","針對[Chill|冰緩]的敵人時，[Gain|獲得]相當於 {0}% [Lightning|閃電]傷害的額外[Cold|冰冷]傷害"
"{0}% of [Physical|Physical] Damage Converted to [Fire|Fire] Damage while you have at least {1} Devotion","當你至少有 {1} 奉獻時，將 {0}% 的[Physical|物理]傷害轉換為[Fire|火焰]傷害"
"{0}% of [Physical|Physical] Damage Converted to [Fire|Fire] Damage while affected by Anger","受到憤怒影響時，將 {0}% 的[Physical|物理]傷害轉換為[Fire|火焰]傷害"
"Gain {0}% of Physical Damage as Extra Fire Damage if you've dealt a [Critical|Critical Hit] [Recently]","若你[Recently|近期]造成[Critical|暴擊]，獲得相當於 {0}% 物理傷害的額外火焰傷害"
"Gain {0}% of [Physical] Damage as Extra [Fire] Damage per [Rage]","每擁有 1 層[Rage|盛怒]，獲得相當於 {0}% [Physical|物理]傷害的額外[Fire|火焰]傷害"
"Projectiles that have Chained gain {0}% of Non-Chaos Damage as Extra Chaos Damage","有連鎖的投射物獲得 {0}% 非混沌傷害的額外混沌傷害"
"Projectiles gain {0}% of Non-Chaos Damage as Extra Chaos Damage per Chain","每個連鎖投射物獲得 {0}% 非混沌傷害的額外混沌傷害"
"Non-Travel [Attack] Skills Repeat an additional Time","非快行[Attack|攻擊]技能額外重複 1 次"
"Non-Travel [Attack] Skills Repeat {0} additional Times","非快行[Attack|攻擊]技能額外重複 {0} 次"
"{0}% more [Knockback] Distance for [Block|Blocked] [HitDamage|Hits]","[Block|被格擋]的[HitDamage|擊中]具有 {0}% 更多[Knockback|擊退]距離"
"{0}% less [Knockback] Distance for [Block|Blocked] [HitDamage|Hits]","[Block|被格擋]的[HitDamage|擊中]具有 {0}% 更少[Knockback|擊退]距離"
"Nova Spells deal {0}% less Damage with Hits against Players","新星法術對玩家造成 {0}% 更少擊中傷害"
"Bow [Attack|Attacks] fire an additional Arrow while Main Hand Accuracy Rating is at least {0}","主手命中值至少為 {0} 時，弓[Attack|攻擊]額外發射 1 支箭矢"
"Bow [Attack|Attacks] fire {0} additional Arrows while Main Hand Accuracy Rating is at least {1}","主手命中值至少為 {1} 時，弓[Attack|攻擊]額外發射 {0} 支箭矢"
"You can apply an additional [Curse] while affected by Malevolence","受惡意影響時，你可以額外施加 1 個[Curse|詛咒]"
"You can apply {0} additional [Curse|Curses] while affected by Malevolence","受惡意影響時，你可以額外施加 {0} 個[Curse|詛咒]"
"You can apply an additional [Curse] while at maximum Power Charges","最大暴擊球狀態下，你可以額外施加 1 個[Curse|詛咒]"
"You can apply {0} additional [Curse|Curses] while at maximum Power Charges","最大暴擊球狀態下，你可以額外施加 {0} 個[Curse|詛咒]"
"Skills which throw Mines throw up to {0} additional Mine if you have at least {1} [Dexterity]","若你至少有 {1} 點[Dexterity|敏捷]，投擲地雷的技能最多額外丟出 {0} 個地雷"
"Skills which throw Mines throw up to {0} additional Mines if you have at least {1} [Dexterity]","若你至少有 {1} 點[Dexterity|敏捷]，投擲地雷的技能最多額外丟出 {0} 個地雷"
"Skills which throw Mines throw up to {0} additional Mine if you have at least {1} [Intelligence]","若你至少有 {1} 點[Intelligence|智慧]，投擲地雷的技能最多額外丟出 {0} 個地雷"
"Skills which throw Mines throw up to {0} additional Mines if you have at least {1} [Intelligence]","若你至少有 {1} 點[Intelligence|智慧]，投擲地雷的技能最多額外丟出 {0} 個地雷"
"Targets can be affected by {0} of your [Poison|Poisons] at the same time","目標可同時受到你的 {0} 個[Poison|中毒]影響"
"Skills fire {0} additional Projectiles if the last Movement Skill you Used was Disengage","若你最後使用的位移技能為脫戰技能，則技能會發射額外 {0} 個投射物"
"Skills fire an additional Projectile if the last Movement Skill you Used was Disengage","若你最後使用的位移技能為脫戰技能，則技能會發射額外 1 個投射物"
"Skills fire an additional Projectile if you've been Hit [Recently]","若你[Recently|近期]被擊中，技能額外發射 1 個投射物"
"Skills fire {0} additional Projectiles if you've been Hit [Recently]","若你[Recently|近期]被擊中，技能額外發射 {0} 個投射物"
"Skills fire an additional Projectile if you've used a Movement Skill [Recently]","若你[Recently|近期]使用過位移技能，技能額外發射 1 個投射物"
"Skills fire {0} additional Projectiles if you've used a Movement Skill [Recently]","若你[Recently|近期]使用過位移技能，技能額外發射 {0} 個投射物"
"+1 to maximum number of Raised Zombies per {0} [Strength]","每 {0} 點力量額外增加 1 個殭屍上限"
"{0}% increased [Attack] Speed with Off Hand while Dual Wielding","雙持時，副手[Attack|攻擊]速度增加 {0}%"
"{0}% reduced [Attack] Speed with Off Hand while Dual Wielding","雙持時，副手[Attack|攻擊]速度減少 {0}%"
"{0}% increased Off Hand [Attack] Speed while wielding two different Weapon Types","使用兩種不同武器類型時，增加 {0}% 副手[Attack|攻擊]速度"
"{0}% reduced Off Hand [Attack] Speed while wielding two different Weapon Types","使用兩種不同武器類型時，減少 {0}% 副手[Attack|攻擊]速度"
"Gain {0} Mana per Enemy Hit with Off Hand Claw [Attack|Attacks]","副手爪[Attack|攻擊]每擊中一名敵人，獲得 {0} 魔力"
"Lose {0} Mana per Enemy Hit with Off Hand Claw [Attack|Attacks]","副手爪[Attack|攻擊]每擊中一名敵人，失去 {0} 魔力"
"{0}% to Off Hand [Critical|Critical Hit] Chance per {1} Maximum [EnergyShield|Energy Shield] on Shield","盾牌每有 {1} 最大[EnergyShield|能量護盾]，{0}% 副手[Critical|暴擊]率"
"{0}% to Off Hand [CriticalDamageBonus|Critical Damage Bonus] per {1} Maximum [EnergyShield|Energy Shield] on Shield","盾牌每有 {1} 最大[EnergyShield|能量護盾] {0}% 副手[CriticalDamageBonus|暴擊傷害加成]"
"[Offering] Skills have {0}% increased Area of Effect","[Offering|奉獻]技能增加 {0}% 效果範圍"
"[Offering] Skills have {0}% reduced Area of Effect","[Offering|奉獻]技能減少 {0}% 效果範圍"
"[Offering] Skills have {0}% increased Duration","[Offering|奉獻]技能增加 {0}% 持續時間"
"[Offering] Skills have {0}% reduced Duration","[Offering|奉獻]技能減少 {0}% 持續時間"
"[Offering|Offerings] have {0}% increased Maximum Life","[Offering|奉獻]增加 {0}% 最大生命"
"[Offering|Offerings] have {0}% reduced Maximum Life","[Offering|奉獻]減少 {0}% 最大生命"
"On-Kill Effects happen twice",擊殺效果會觸發兩次
"{0}% increased Chance to inflict [Ailments|Ailments] with [One-Handed|One-Handed] [Attack|Attacks]","[One-Handed|單手][Attack|攻擊]施加[Ailments|異常狀態]的機率增加 {0}%"
"{0}% reduced Chance to inflict [Ailments|Ailments] with [One-Handed|One-Handed] [Attack|Attacks]","[One-Handed|單手][Attack|攻擊]施加[Ailments|異常狀態]的機率減少 {0}%"
"Deal {0}% of [Overkill] damage to enemies within {1} metres of the enemy killed","對被擊殺敵人 {1} 公尺內的敵人造成相當於[Overkill|溢出]傷害 {0}% 的傷害"
"[Allies] in your [Presence] have [Block] Chance equal to yours",你[Presence|存在範圍]內的[Allies|友方]具有與你相同的[Block|格擋]機率
"Base [Critical|Critical Hit] Chance for [Attack|Attacks] with [MartialWeapon|Weapons] is {0}%","[MartialWeapon|武器][Attack|攻擊]的基礎[Critical|暴擊]率為 {0}%"
"{0}% more Duration of [Poison|Poisons] on You","你身上的[Poison|中毒]有 {0}% 更多持續時間"
"{0}% less Duration of [Poison|Poisons] on You","你身上的[Poison|中毒]有 {0}% 更少持續時間"
"Deal {0}% more Chaos Damage to enemies which have [EnergyShield|Energy Shield]","對擁有[EnergyShield|能量護盾]的敵人造成 {0}% 更多混沌傷害"
"Deal {0}% less Chaos Damage to enemies which have [EnergyShield|Energy Shield]","對擁有[EnergyShield|能量護盾]的敵人造成 {0}% 更少混沌傷害"
"[Exposure] you inflict lowers the affected Total Resistance by at least {0}%","你造成的[Exposure|曝曬]會使受影響的抗性總值至少降低 {0}%"
"{0}% more Maximum Physical [Attack] Damage with Daggers","匕首有 {0}% 更多最大物理攻擊傷害"
"{0}% less Maximum Physical [Attack] Damage with Daggers","匕首有 {0}% 更少最大物理攻擊傷害"
"{0}% more Physical Damage Taken while on Full [EnergyShield|Energy Shield]","處於滿[EnergyShield|能量護盾]時，增加 {0}% 承受的物理傷害"
"{0}% less Physical Damage Taken while on Full [EnergyShield|Energy Shield]","處於滿[EnergyShield|能量護盾]時，減少 {0}% 承受的物理傷害"
"{0}% more Damage taken from [Hinder|Hindered] Enemies","承受 {0}% 更多來自[Hinder|受阻礙]的敵人的傷害"
"{0}% less Damage taken from [Hinder|Hindered] Enemies","承受 {0}% 更少來自[Hinder|受阻礙]的敵人的傷害"
"{0}% more Damage against [HeavyStun|Heavy Stunned] Enemies with [Mace|Maces]","使用[Mace|錘類]時，對[HeavyStun|遭沉重暈眩]的敵人造成 {0}% 更多傷害"
"{0}% less Damage against [HeavyStun|Heavy Stunned] Enemies with [Mace|Maces]","使用[Mace|錘類]時，對[HeavyStun|遭沉重暈眩]的敵人造成 {0}% 更少傷害"
"The most Damaging [Poison] on Enemies you Kill is [AilmentSpread|Spread] to other Enemies within {0} metres","你所擊殺敵人身上造成傷害最高的[Poison|中毒][AilmentSpread|散播]至 {0} 公尺內的其他敵人"
"{0}% less Recovery from [Flask|Flasks]","[Flask|藥劑]具有 {0}% 更少恢復效果"
"{0}% more Life Recovery from [Flask|Flasks]","[Flask|藥劑]具有 {0}% 更多生命恢復"
"{0}% more [Poison] Duration","{0}% 更多[Poison|中毒]持續時間"
"{0}% less [Poison] Duration","{0}% 更少[Poison|中毒]持續時間"
"Skills have a {0}% longer [PerfectTiming|Perfect Timing] window","技能有 {0}% 更長的[PerfectTiming|完美時機]空檔"
"Skills have a {0}% shorter [PerfectTiming|Perfect Timing] window","技能有 {0}% 更短的[PerfectTiming|完美時機]空檔"
"Permanently [Intimidate] enemies on [Block]",[Block|格擋]時永久[Intimidate|威嚇]敵人
"You have Phasing if you have Blocked [Recently]",若你[Recently|近期]有格擋過，你獲得迷蹤
"{0}% of [Physical] Damage from [HitDamage|Hits] taken as Damage of a Random [ElementalDamage|Element]","承受的 {0}% [HitDamage|擊中][Physical|物理]傷害視為 1 種隨機[ElementalDamage|元素]傷害"
"{0}% increased [Physical|Physical] Damage per {1} [Rage|Rage]","每 {1} 層[Rage|盛怒]增加 {0}% [Physical|物理]傷害"
"{0}% reduced [Physical|Physical] Damage per {1} [Rage|Rage]","每 {1} 層[Rage|盛怒]減少 {0}% [Physical|物理]傷害"
"{0}% increased Physical Damage with Hits against Ignited Enemies","增加 {0}%對被點燃敵人的物理擊中傷害"
"{0}% reduced Physical Damage with Hits against Ignited Enemies","減少 {0}%對被點燃敵人的物理擊中傷害"
"{0}% of Physical Damage prevented [Recoup|Recouped] as Life","抵禦物理傷害時，其 {0}% [Recoup|補償]為生命"
"{0} to [Armour] during Soul Gain Prevention","停止獲得靈魂期間內 {0} [Armour|護甲值]"
"{0} to [Armour] if you've Hit an Enemy [Recently]","若你[Recently|近期]擊中了一名敵人，{0} [Armour|護甲值]"
"{0} to [Armour] per Endurance Charge","每顆耐力球 {0} [Armour|護甲值]"
"{0}% increased [Armour] per Endurance Charge","每顆耐力球增加 {0}% [Armour|護甲值]"
"{0}% of [Physical] Damage taken [Recoup|Recouped] as Life","承受的 {0}% [Physical|物理]傷害[Recoup|補償]為生命"
"{0}% increased Physical Damage with [Attack] Skills","[Attack|攻擊]技能增加 {0}% 物理傷害"
"{0}% reduced Physical Damage with [Attack] Skills","[Attack|攻擊]技能減少 {0}% 物理傷害"
"{0}% to Physical Damage over Time Multiplier if you've dealt a [Critical|Critical Hit] [Recently]","若你[Recently|近期]造成[Critical|暴擊]，{0}% 物理持續傷害加成"
"{0}% to Physical Damage over Time Multiplier if you've Spent Life [Recently]","若你[Recently|近期]消耗過生命，{0}% 物理持續傷害加成"
"{0}% of [Physical|Physical] Damage taken as [Fire|Fire] Damage","{0}% 的[Physical|物理]傷害承受為[Fire|火焰]傷害"
"{0}% of [Physical|Physical Damage] taken as [Chaos|Chaos Damage]","{0}% [Physical|物理傷害]承受為[Chaos|混沌傷害]"
"You and your [Minion|Minions] take {0}% increased Reflected Physical Damage","你和你的[Minion|召喚物]增加 {0}% 承受的反射物理傷害"
"You and your [Minion|Minions] take {0}% reduced Reflected Physical Damage","你和你的[Minion|召喚物]減少 {0}% 承受的反射物理傷害"
"{0} to Level of all [Physical] Skills","所有[Physical|物理]技能的等級 {0}"
"Projectiles have {0}% increased [Critical|Critical Hit] Chance against Targets they Pierce","投射物對其穿透的目標增加 {0}% [Critical|暴擊]率"
"Projectiles have {0}% reduced [Critical|Critical Hit] Chance against Targets they Pierce","投射物對其穿透的目標減少 {0}% [Critical|暴擊]率"
"Placed Banners also grant {0}% increased [Attack] Damage to you and Allies","放置的旗幟也會使你和友方增加 {0}% [Attack|攻擊]傷害"
"Placed Banners also grant {0}% reduced [Attack] Damage to you and Allies","放置的旗幟也會使你和友方減少 {0}% [Attack|攻擊]傷害"
"Plague Bearer Buff grants {0}% increased Effect of Poison while Infecting","受感染時，病疫之難增益效果會賦予增加 {0}% 中毒效果"
"Plague Bearer Buff grants {0}% reduced Effect of Poison while Infecting","受感染時，病疫之難增益效果會賦予減少 {0}% 中毒效果"
"[Block|Blocking] Damage [Poison|Poisons] the Enemy as though dealing {0} Base [Chaos] Damage","[Block|格擋]傷害會使敵人[Poison|中毒]，視同造成 {0} 基礎[Chaos|混沌]傷害"
"{0}% increased chance to Poison","增加 {0}%中毒機率"
"{0}% reduced chance to Poison","減少 {0}%中毒機率"
"{0}% increased [Poison] Duration for each [Poison] you have inflicted Recently, up to a maximum of {1}%","你近期每造成一個[Poison|中毒]，增加 {0}% [Poison|中毒]持續時間，最高 {1}%"
"{0}% reduced [Poison] Duration for each [Poison] you have inflicted [Recently]","你[Recently|近期]每造成一個[Poison|中毒]，減少 {0}% [Poison|中毒]持續時間"
"{0}% increased Poison Duration if you have at least {1} [Intelligence]","若你至少有 {1} 點[Intelligence|智慧]，增加 {0}% 中毒持續時間"
"{0}% reduced Poison Duration if you have at least {1} [Intelligence]","若你至少有 {1} 點[Intelligence|智慧]，減少 {0}% 中毒持續時間"
"{0}% increased Effect of [Poison] you inflict on targets that are not Poisoned","你對未中毒敵人施加的[Poison|中毒]效果增加 {0}%"
"{0}% reduced Effect of [Poison] you inflict on targets that are not Poisoned","你對未中毒敵人施加的[Poison|中毒]效果減少 {0}%"
"Poisons you inflict during any [Flask] Effect have {0}% chance to have {1}% more Effect","在任何[Flask|藥劑]效果期間造成的中毒有 {0}% 機率具有 {1}% 更多效果"
"{0}% increased [BuffMagnitude|Magnitude] of [Poison] you inflict","你所施加之[Poison|中毒]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [Poison] you inflict","你所施加之[Poison|中毒]的[BuffMagnitude|幅度]減少 {0}%"
"{0}% increased [BuffMagnitude|Magnitude] of [Poison] you inflict per Frenzy Charge","每顆狂怒球使你所施加之[Poison|中毒]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [Poison] you inflict per Frenzy Charge","每顆狂怒球使你所施加之[Poison|中毒]的[BuffMagnitude|幅度]減少 {0}%"
"{0}% increased [BuffMagnitude|Magnitude] of [Poison] you inflict on Bleeding Enemies","你對流血敵人所施加之[Poison|中毒]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [Poison] you inflict on Bleeding Enemies","你對流血敵人所施加之[Poison|中毒]的[BuffMagnitude|幅度]減少 {0}%"
"{0}% increased [BuffMagnitude|Magnitude] of [Poison] you inflict while wielding a Claw or Dagger","使用爪或匕首時，你所施加之[Poison|中毒]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [Poison] you inflict while wielding a Claw or Dagger","使用爪或匕首時，你所施加之[Poison|中毒]的[BuffMagnitude|幅度]減少 {0}%"
"{0}% increased [BuffMagnitude|Magnitude] of [Poison] you inflict with Spell Skills","你以法術技能所施加之[Poison|中毒]的[BuffMagnitude|幅度]增加 {0}%"
"{0}% reduced [BuffMagnitude|Magnitude] of [Poison] you inflict with Spell Skills","你以法術技能所施加之[Poison|中毒]的[BuffMagnitude|幅度]減少 {0}%"
"[Critical|Critical Hits] [Poison] the enemy",[Critical|暴擊]時使敵人[Poison|中毒]
"Poisonous Concoction uses {0}% increased [Flask] Charges","毒藥使用的[Flask|藥劑]充能增加 {0}%"
"Poisonous Concoction uses {0}% reduced [Flask] Charges","毒藥使用的[Flask|藥劑]充能減少 {0}%"
"Targets can be affected by any number of your [Poison|Poisons] at the same time",目標可同時受到你任何數量的[Poison|中毒]影響
"{0}% more [Charges|Power Charge] Duration","{0}% 更多[Charges|暴擊球]持續時間"
"{0}% less [Charges|Power Charge] Duration","{0}% 更少[Charges|暴擊球]持續時間"
"{0}% chance to gain a Power Charge on Non-[Critical|Critical Hit] with a Claw or Dagger","以爪或匕首造成非[Critical|暴擊]時，有 {0}% 機率獲得 1 個暴擊球"
"Power Siphon fires an additional [Projectile|Projectile]","力量抽取發射 1 個額外[Projectile|投射物]"
"Power Siphon fires {0} additional [Projectile|Projectiles]","力量抽取發射 {0} 個額外[Projectile|投射物]"
"{0}% chance to Impale Enemies on Hit with [Attack|Attacks] while using Pride","使用驕傲時，[Attack|攻擊]擊中時有 {0}% 機率穿刺敵人"
"Impale Enemies on Hit with [Attack|Attacks] while using Pride",使用驕傲時，[Attack|攻擊]擊中時穿刺敵人
"{0}% increased chance to inflict [Ailments|Ailments] with [Projectile|Projectiles]","[Projectile|投射物]造成[Ailments|異常狀態]的機率增加 {0}%"
"{0}% reduced chance to inflict [Ailments|Ailments] with [Projectile|Projectiles]","[Projectile|投射物]造成[Ailments|異常狀態]的機率減少 {0}%"
"{0}% increased Projectile [Attack] Damage during any [Flask] Effect","在任何[Flask|藥劑]效果期間，投射物[Attack|攻擊]傷害增加 {0}%"
"{0}% reduced Projectile [Attack] Damage during any [Flask] Effect","在任何[Flask|藥劑]效果期間，投射物[Attack|攻擊]傷害減少 {0}%"
"{0}% increased Projectile [Attack] Damage with Claws or Daggers","爪或匕首增加 {0}% 投射物[Attack|攻擊]傷害"
"{0}% reduced Projectile [Attack] Damage with Claws or Daggers","爪或匕首減少 {0}% 投射物[Attack|攻擊]傷害"
"{0}% increased Projectile Range","增加 {0}%投射物範圍"
"{0}% reduced Projectile Range","減少 {0}%投射物範圍"
"Projectile [Attack] Skills have {0}% to [CriticalDamageBonus|Critical Damage Bonus]","投射物[Attack|攻擊]技能 {0}% [CriticalDamageBonus|暴擊傷害加成]"
"[Projectile|Projectiles] have {0}% chance to [Chain] an additional time from terrain","[Projectile|投射物]有 {0}% 機率從地形額外[Chain|連鎖]一次"
"{0}% chance for [Projectile|Projectiles] to [Pierce|Pierce] Enemies within {1}m distance of you","[Projectile|投射物]有 {0}% 機率[Pierce|穿透]你 {1} 公尺範圍內的敵人"
"[Projectile|Projectiles] deal {0}% increased Damage with Hits against Enemies further than {1}m","[Projectile|投射物]對距離超過 {1} 公尺的敵人造成的擊中傷害增加 {0}%"
"[Projectile|Projectiles] deal {0}% reduced Damage with Hits against Enemies further than {1}m","[Projectile|投射物]對距離超過 {1} 公尺的敵人造成的擊中傷害減少 {0}%"
"[Projectile|Projectiles] deal {0}% increased Damage with Hits against Enemies within {1}m","[Projectile|投射物]對距離 {1} 公尺內的敵人造成的擊中傷害增加 {0}%"
"[Projectile|Projectiles] deal {0}% reduced Damage with Hits against Enemies within {1}m","[Projectile|投射物]對距離 {1} 公尺內的敵人造成的擊中傷害減少 {0}%"
"{0}% increased Projectile Damage per {1} [Dexterity]","每 {1} 點[Dexterity|敏捷]增加 {0}% 投射物傷害"
"Projectiles deal {0}% increased Damage with Hits for each time they have Chained","投射物每次連鎖時，增加 {0}%造成的擊中傷害"
"Projectiles deal {0}% increased Damage with Hits for each Enemy they've Pierced","投射物每次穿透敵人時，造成的擊中傷害增加 {0}%"
"Projectiles deal {0}% increased Damage with Hits to targets they Chain from","增加 {0}%投射物對其連鎖目標造成的擊中傷害"
"Projectiles deal {0}% reduced Damage with Hits to targets they Chain from","減少 {0}%投射物對其連鎖目標造成的擊中傷害"
"{0}% increased [Projectile|Projectile] [Stun|Stun Buildup]","[Projectile|投射物][Stun|暈眩累積]增加 {0}%"
"{0}% reduced [Projectile|Projectile] [Stun|Stun Buildup]","[Projectile|投射物][Stun|暈眩累積]減少 {0}%"
"Projectiles [Split] towards {0} targets","投射物[Split|分裂]至 {0} 個目標"
"{0}% increased [Projectile|Projectile] Speed while wielding a [Dagger|Dagger]","使用[Dagger|匕首]時增加 {0}% [Projectile|投射物]速度"
"{0}% reduced [Projectile|Projectile] Speed while wielding a [Dagger|Dagger]","使用[Dagger|匕首]時減少 {0}% [Projectile|投射物]速度"
"[Projectile|Projectiles] from [Spell|Spells] cannot [Pierce]",[Spell|法術]的[Projectile|投射物]無法[Pierce|穿透]
"Wave of Conviction's Exposure lowers Total Elemental Resistance by an additional {0}%","信念浪湧的曝曬使元素抗性總值額外降低 {0}%"
"{0}% increased [Daze|Daze Buildup] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Daze|目眩累積]增加 {0}%"
"{0}% reduced [Daze|Daze Buildup] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Daze|目眩累積]減少 {0}%"
"{0}% increased [Freeze] Buildup with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Freeze|冰凍]累積增加 {0}%"
"{0}% reduced [Freeze] Buildup with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Freeze|冰凍]累積減少 {0}%"
"{0}% increased [Stun] Buildup with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Stun|暈眩]累積增加 {0}%"
"{0}% reduced [Stun] Buildup with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Stun|暈眩]累積減少 {0}%"
"{0}% increased chance to [Shock] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Shock|感電]機率增加 {0}%"
"{0}% reduced chance to [Shock] with [Quarterstaff|Quarterstaves]","[Quarterstaff|細杖]的[Shock|感電]機率減少 {0}%"
"[Quarterstaff|Quarterstaff] Skills that consume [Charges|Power Charges] count as consuming an additional Power Charge","消耗[Charges|暴擊球]的[Quarterstaff|細杖]技能視為額外消耗 1 顆暴擊球"
