"Iron Gauntlets",鐵鍛護手
"Runemastered Vermeil Circlet",符煉鍍金頭環
"Runemastered Jade Tiara",符煉翠玉頭冠
"Runemastered Twilight Tiara",符煉暮光頭冠
"Runemastered Magus Tiara",符煉瑪格思頭冠
"Runemastered Brimmed Helm",符煉邊緣之盔
"Runemastered Guarded Helm",符煉警惕之盔
"Runemastered Visored Helm",符煉假面之盔
"Runemastered Cowled Helm",符煉斗篷之盔
"Runemastered Shielded Helm",符煉庇護之盔
"Runemastered Decorated Helm",符煉裝飾之盔
"Runemastered Ancient Visor",符煉遠古護面盔
"Runemastered Iron Crown",符煉鍛鐵之冠
"Runemastered Horned Crown",符煉犄角之冠
"Runemastered Cultist Crown",符煉教徒之冠
"Runemastered Martyr Crown",符煉殉難之冠
"Runemastered Heavy Crown",符煉沉重之冠
"Runemastered Spiritbone Crown",符煉魂骨之冠
"Runemastered Grand Visage",符煉宏偉面紗
"Runemastered Tenebrous Crown",符煉黑暗之冠
"Runemastered Hewn Mask",符煉粗製之面
"Runemastered Face Mask",符煉護臉之面
"Runemastered Hooded Mask",符煉風帽之面
"Runemastered Veiled Mask",符煉隱匿之面
"Runemastered Tribal Mask",符煉部落之面
"Runemastered Solid Mask",符煉堅固之面
"Runemastered Death Mask",符煉死亡之面
Reverie,綺夢
"Horror's Flight",驚懼飛掠
"The Unleashed",釋放者
"The Auspex",觀鳥者
"Decree of Acuity",敏銳敕令
"Decree of Flight",翔天敕令
"Decree of Loyalty",忠誠敕令
"Forgotten Warden",遺忘看守
"The Sunken Vessel",沉船
"Vestige of Darkness",幽暗殘餘
