"Life Regen",生命回复
"Melee Weapon Damage Penetrates {0}% Elemental Resistances per Mana Burn","每层魔力燃烧使近战武器伤害穿透 {0}% 元素抗性"
"{0}% chance to gain Phasing for {1} seconds on Melee Weapon Kill","近战武器击败敌人时有 {0}% 的几率获得迷踪，持续 {1} 秒"
"Gain Phasing for {0} seconds on Melee Weapon Kill","近战武器击败敌人时获得迷踪，持续 {0} 秒"
"{0}% increased Damage with Poison from Melee Weapons","近战武器造成的中毒伤害提高 {0}%"
"{0}% reduced Damage with Poison from Melee Weapons","近战武器造成的中毒伤害降低 {0}%"
"{0}% increased Mana Burn rate","魔力燃烧速度加快 {0}%"
"{0}% reduced Mana Burn rate","魔力燃烧速度减慢 {0}%"
"{0}% chance to Curse Enemies with a random Hex on Melee Weapon Hit","近战武器击中时有 {0}% 的几率对敌人附加一个随机魔蛊诅咒"
"Recover {0}% of Life on Killing a Rare or Unique Enemy with a Melee Weapon","使用近战武器击败稀有或传奇敌人时恢复 {0}% 的生命"
"Lose {0}% of Life on Killing a Rare or Unique Enemy with a Melee Weapon","使用近战武器击败稀有或传奇敌人时失去 {0}% 的生命"
"Melee Weapon Damage Penetrates {0}% Chaos Resistance","近战武器伤害穿透 {0}% 混沌抗性"
"Your Melee Weapon Hits treat Chaos Resistance as {0}% higher than actual value","你的近战武器击中将混沌抗性视作比实际值高 {0}%"
"Melee Weapon Damage Penetrates {0}% Cold Resistance","近战武器伤害穿透 {0}% 冰霜抗性"
"Your Melee Weapon Hits treat Cold Resistance as {0}% higher than actual value","你的近战武器击中将冰霜抗性视作比实际值高 {0}%"
"Melee Weapon Damage Penetrates {0}% Fire Resistance","近战武器伤害穿透 {0}% 火焰抗性"
"Your Melee Weapon Hits treat Fire Resistance as {0}% higher than actual value","你的近战武器击中将火焰抗性视作比实际值高 {0}%"
"Melee Weapon Damage Penetrates {0}% Lightning Resistance","近战武器伤害穿透 {0}% 闪电抗性"
"Your Melee Weapon Hits treat Lightning Resistance as {0}% higher than actual value","你的近战武器击中将闪电抗性视作比实际值高 {0}%"
"{0}% chance to refresh Bleeding Duration on Melee Weapon Hit","近战武器击中有 {0}% 的几率刷新流血的持续时间"
"{0}% chance to refresh Ignite Duration on Melee Weapon Hit","近战武器击中有 {0}% 的几率刷新点燃的持续时间"
"Killing Blows with Melee Weapons have {0}% chance to Shatter Enemies","近战武器击败敌人时有 {0}% 的几率将其击碎"
"{0}% increased Effect of Shock from Melee Weapons","近战武器的感电效果提高 {0}%"
"{0}% reduced Effect of Shock from Melee Weapons","近战武器的感电效果降低 {0}%"
"{0}% chance to Steal Endurance Charges on Hit with Melee Weapons","近战武器击中时有 {0}% 的几率偷取耐力球"
"Melee Weapon Hits Steal Endurance Charges",近战武器击中时偷取耐力球
"{0}% chance to Steal Frenzy Charges on Hit with Melee Weapons","近战武器击中时有 {0}% 的几率偷取狂怒球"
"Melee Weapon Hits Steal Frenzy Charges",近战武器击中时偷取狂怒球
"{0}% chance to Steal Power Charges on Hit with Melee Weapons","近战武器击中时有 {0}% 的几率偷取暴击球"
"Melee Weapon Hits Steal Power Charges",近战武器击中时偷取暴击球
"{0}% increased Stun Duration with Melee Weapons","近战武器造成的晕眩持续时间延长 {0}%"
"{0}% reduced Stun Duration with Melee Weapons","近战武器造成的晕眩持续时间缩短 {0}%"
"{0}% increased Melee Weapon Attack Speed","近战武器攻击速度加快 {0}%"
"{0}% reduced Melee Weapon Attack Speed","近战武器攻击速度减慢 {0}%"
"Gain {0} Mana per Enemy Killed with Melee Weapons","近战武器每击败一名敌人获得 {0} 点魔力"
"Lose {0} Mana per Enemy Killed with Melee Weapons","近战武器每击败一名敌人损失 {0} 点魔力"
"{0}% to Melee Weapon Critical Strike Multiplier","近战武器暴击伤害加成 {0}%"
"{0}% to Damage over Time Multiplier with Melee Weapon Attacks","近战武器攻击的持续伤害加成 {0}%"
"{0}% increased Duration of Elemental Ailments from Melee Weapon Attacks","近战武器攻击造成的元素异常状态的持续时间延长 {0}%"
"{0}% reduced Duration of Elemental Ailments from Melee Weapon Attacks","近战武器攻击造成的元素异常状态的持续时间缩短 {0}%"
"{0}% increased Flask Charges gained from Kills with Melee Weapons","近战武器击败敌人获得的药剂充能提高 {0}%"
"{0}% reduced Flask Charges gained from Kills with Melee Weapons","近战武器击败敌人获得的药剂充能降低 {0}%"
"Gain {0} Life per Enemy Hit with Melee Weapons","近战武器每击中一名敌人获得 {0} 点生命"
"Gain {0} Life per Enemy Killed with Melee Weapons","近战武器每击败一名敌人获得 {0} 点生命"
"Gain {0} Mana per Enemy Hit with Melee Weapons","近战武器每击中一名敌人获得 {0} 点魔力"
"Melee Weapon Damage Penetrates {0}% Elemental Resistances","近战武器伤害穿透 {0}% 元素抗性"
"{0}% increased Melee Weapon Damage against Enemies that are on Low Life","对低血敌人造成的近战武器伤害提高 {0}%"
"Melee Weapons have {0}% to Critical Strike Chance against Enemies that are on Full Life","近战武器对满血敌人的暴击几率 {0}%"
"Poisons inflicted with Melee Weapons on non-Poisoned Enemies deal {0}% increased Damage","近战武器对未中毒敌人造成的中毒伤害提高 {0}%"
"Poisons inflicted with Melee Weapons on non-Poisoned Enemies deal {0}% reduced Damage","近战武器对未中毒敌人造成的中毒伤害降低 {0}%"
"{0}% increased Melee Weapon Attack Speed if you have Blocked Recently","若近期格挡过，近战武器攻击速度加快 {0}%"
"{0}% reduced Melee Weapon Attack Speed if you have Blocked Recently","若近期格挡过，近战武器攻击速度减慢 {0}%"
"Chills from Melee Weapon Hits always reduce Action Speed by at least {0}%","近战武器击中造成的冰缓效果总能使行动速度降低至少 {0}%"
"Cover Full Life Enemies in Ash for {0} seconds on Melee Weapon Hit","近战武器击中满血敌人时使其灰烬缠身，持续 {0} 秒"
"Cover Full Life Enemies in Frost for {0} seconds on Melee Weapon Hit","近战武器击中满血敌人时使其冰霜缠身，持续 {0} 秒"
"{0}% to Melee Weapon Critical Strike Multiplier against Enemies that are on Full Life","对满血敌人的近战武器暴击加成 {0}%"
"Crush Full Life Enemies for {0} seconds on Melee Weapon Hit","近战武器击中满血敌人时碾压，持续 {0} 秒"
"{0}% increased Melee Weapon Damage for each","你在过去 8 秒内每施放一个非瞬发法术，"
"Non-Instant Spell you've Cast in the past 8 seconds","近战武器伤害降低 {0}%"
"{0}% reduced Melee Weapon Damage for each","你在过去 8 秒内每施放一个非瞬发法术，"
"Your Melee Weapon Hits can't be Evaded while you are on Low Life",低血时你的近战武器击中无法被闪避
"{0}% chance to gain Onslaught for {1} seconds on Killing Blow with Melee Weapons","近战武器击败敌人时有 {0}% 的几率获得猛攻 {1} 秒"
"Gain Onslaught for {0} seconds on Killing Blow with Melee Weapons","近战武器击败敌人时获得猛攻 {0} 秒"
"Projectiles from Melee Weapon Attacks have {0}% chance to be able to Chain when colliding with terrain","近战武器攻击的投射物击中地形时有 {0}% 的几率产生连锁"
"Projectiles from Melee Weapon Attacks can Chain when colliding with terrain",近战武器攻击的投射物击中地形时产生连锁
"{0}% increased Melee Weapon Attack Area of Effect if you've Killed Recently","若近期击败过敌人，近战武器的攻击效果范围扩大 {0}%"
"{0}% reduced Melee Weapon Attack Area of Effect if you've Killed Recently","若近期击败过敌人，近战武器的攻击效果范围缩小 {0}%"
"Can Disenchant Magic Equipment Items",可以分解魔法装备物品
"Can Disenchant Magic or Rare Equipment Items",可以分解魔法或稀有装备物品
"Can Disenchant Magic, Rare or Unique Equipment Items",可以分解魔法，稀有或传奇装备物品
"Farming Plots can grow Wheat",耕作田现在可以种植小麦
"Farming Plots can grow Wheat and Corn",耕作田现在可以种植小麦和玉米
"Farming Plots can grow Wheat, Corn and Pumpkin",耕作田现在可以种植小麦，玉米和南瓜
"Farming Plots can grow Wheat, Corn, Pumpkin and Orgourd",耕作田现在可以种植小麦，玉米，南瓜和金葫芦
"Farming Plots can grow Wheat, Corn, Pumpkin, Orgourd and Blue Zanthimum",耕作田现在可以种植小麦，玉米，南瓜，金葫芦和蓝翠花
"Can Mine Crimson Iron",可以采掘绯红铁矿石
"Can Mine Crimson Iron and Orichalcum",可以采掘绯红铁矿石和奥利哈刚矿石
"Can Mine Crimson Iron, Orichalcum and Petrified Amber",可以采掘绯红铁矿石，奥利哈刚矿石和石化琥珀矿石
"Can Mine Crimson Iron, Orichalcum, Petrified Amber and Bismuth",可以采掘绯红铁矿石，奥利哈刚矿石，石化琥珀矿石和铋矿石
"Can Mine Crimson Iron, Orichalcum, Petrified Amber, Bismuth and Verisium",可以采掘绯红铁矿石，奥利哈刚矿石，石化琥珀矿石，铋矿石和维金矿石
"Can Recombinate Weapons",可以重组武器
"Can Recombinate Weapons and Armour",可以重组武器和护甲
"Can Recombinate Weapons, Armour and Jewellery",可以重组武器，护甲和饰品
"Atlas Runners can run White Maps",异界冒险者可以挑战白色地图
"Atlas Runners can run White and Yellow Maps",异界冒险者可以挑战白色和黄色地图
"Atlas Runners can run White, Yellow and Red Maps",异界冒险者可以挑战白色，黄色和红色地图
"Atlas Runners can run White, Yellow, Red and Purple Maps",异界冒险者可以挑战白色，黄色，红色和紫色地图
"Can Smelt Crimson Iron Ore",可以冶炼绯红铁矿石
"Can Smelt Crimson Iron and Orichalcum Ores",可以冶炼绯红铁矿石和奥利哈刚矿石
"Can Smelt Crimson Iron, Orichalcum and Petrified Amber Ores",可以冶炼绯红铁矿石，奥利哈刚矿石和石化琥珀矿石
"Can Smelt Crimson Iron, Orichalcum, Petrified Amber and Bismuth Ores",可以冶炼绯红铁矿石，奥利哈刚矿石，石化琥珀矿石和铋矿石
"Can Smelt Crimson Iron, Orichalcum, Petrified Amber, Bismuth and Verisium Ores",可以冶炼绯红铁矿石，奥利哈刚矿石，石化琥珀矿石，铋矿石和维金矿石
"{0}% increased Thaumaturgic Dust per Corruption Implicit","每一种腐化基底使获得的奇术之尘提高 {0}%"
"{0}% reduced Thaumaturgic Dust per Corruption Implicit","每一种腐化基底使获得的奇术之尘降低 {0}%"
"{0}% increased Thaumaturgic Dust per Influence Type","每一种影响类型使获得的奇术之尘提高 {0}%"
"{0}% reduced Thaumaturgic Dust per Influence Type","每一种影响类型使获得的奇术之尘降低 {0}%"
"{0}% increased Thaumaturgic Dust per Item Quality","每一点物品品质使获得的奇术之尘提高 {0}%"
"{0}% reduced Thaumaturgic Dust per Item Quality","每一点物品品质使获得的奇术之尘降低 {0}%"
"{0}% increased Disenchanting Speed","分解速度提高 {0}%"
"{0}% increased Farming Speed","耕作速度提高 {0}%"
"Plots yield {0}% increased Crop per adjacent Plot being Farmed","每耕作一片相邻的耕作田，耕作田的产量提高 {0}%"
"{0}% increased Crop yield per different Crop being Farmed","每种植一种不同的作物，作物产量提高 {0}%"
"{0}% increased Fishing Speed","钓鱼速度提高 {0}%"
"Marking Ore in Areas grants Gold equal to the amount of Ore",区域内标记的矿脉提供与矿石等量的金币
"{0}% increased Mapping Speed","异界冒险速度提高 {0}%"
"{0}% increased effect of Explicit Modifiers on Maps","地图的外延词缀效果提高 {0}%"
"{0}% reduced effect of Explicit Modifiers on Maps","地图的外延词缀效果降低 {0}%"
"{0} Maximum Ship Crew","{0} 船员上限"
"{0} Maximum Farmer per Plot","{0} 每片耕作田的农夫上限"
"{0} Maximum Farmers per Plot","{0} 每片耕作田的农夫上限"
"Map Devices have {0} Portal","地图装置具有 {0} 个传送门"
"Map Devices have {0} Portals","地图装置具有 {0} 个传送门"
"{0} Maximum Disenchanter","{0} 分解师上限"
"{0} Maximum Disenchanters","{0} 分解师上限"
"{0} Maximum Fisherman","{0} 渔夫上限"
"{0} Maximum Fishermen","{0} 渔夫上限"
"{0} Maximum Miner","{0} 矿工上限"
"{0} Maximum Miners","{0} 矿工上限"
"{0} Maximum Smelter","{0} 冶炼师上限"
"{0} Maximum Smelters","{0} 冶炼师上限"
"{0} Maximum Town Population","{0} 城镇人口上限"
"{0}% increased Mining Speed","采掘速度提高 {0}%"
"{0} Farming Plot","{0} 片耕作田"
"{0} Farming Plots","{0} 片耕作田"
"{0} Map Device","{0} 个地图装置"
"{0} Map Devices","{0} 个地图装置"
"Recruitment Agency lists up to {0} Recruit","招募经纪人会列出最多 {0} 个人选"
"Recruitment Agency lists up to {0} Recruits","招募经纪人会列出最多 {0} 个人选"
"{0} Ship","{0} 条船只"
"{0} Ships","{0} 条船只"
"{0}% increased Ore found in Areas","该区域内找到的矿石数量提高 {0}%"
"{0}% reduced Ore found in Areas","该区域内找到的地图数量降低 {0}%"
"Ports Quotas are {0}% more rewarding","港口定额的奖励总增 {0}%"
"Ports Quotas are {0}% less rewarding","港口定额的奖励总降 {0}%"
"Ores found in Areas are more likely to be rarer varieties",区域内的矿石更有可能为稀有类型
"{0}% chance for Modifiers to upgrade tier","{0}% 的几率将词缀升级"
"Rarer Modifiers are more likely to be retained",高稀有度词缀更有可能被保留
"{0}% increased Recombination Cost","重组成本提高 {0}%"
"{0}% reduced Recombination Cost","重组成本降低 {0}%"
"{0}% increased Recruitment Reroll Cost","招募重置成本提高 {0}%"
"{0}% reduced Recruitment Reroll Cost","招募重置成本降低 {0}%"
"Can Runesmith using Sun Runes",符文匠可以使用太阳符文
"Can Runesmith using Sun and Bound Runes",符文匠可以使用太阳和束缚符文
"Can Runesmith using Sun, Bound and Life Runes",符文匠可以使用太阳，束缚和生命符文
"Can Runesmith using Sun, Bound, Life and War Runes",符文匠可以使用太阳，束缚，生命和战争符文
"Can Runesmith using Sun, Bound, Life, War and River Runes",符文匠可以使用太阳，束缚，生命，战争和河川符文
"Can Runesmith using Sun, Bound, Life, War, River and Bounty Runes",符文匠可以使用太阳，束缚，生命，战争，河川和富裕符文
"Can Runesmith using Sun, Bound, Life, War, River, Bounty and Journey Runes",符文匠可以使用太阳，束缚，生命，战争，河川，富裕和旅途符文
"Can Runesmith using Sun, Bound, Life, War, River, Bounty, Journey and Mountain Runes",符文匠可以使用太阳，束缚，生命，战争，河川，富裕，旅途和崇山符文
"Can Runesmith using Sun, Bound, Life, War, River, Bounty, Journey, Mountain and Time Runes",符文匠可以使用太阳，束缚，生命，战争，河川，富裕，旅途，崇山和时光符文
"Can Runesmith using Sun, Bound, Life, War, River, Bounty, Journey, Mountain, Time and Power Runes",符文匠可以使用太阳，束缚，生命，战争，河川，富裕，旅途，崇山，时光和威能符文
"{0}% increased Ship Speed","船只速度提高 {0}%"
"{0}% increased Smelting Speed","冶炼速度提高 {0}%"
"Tier {0}+ Maps have either Maven, Searing Exarch or Eater of Worlds Influence","{0} 阶及以上地图拥有贤主、焚界者或灭界者影响"
"Cursed Enemies grant {0} Rage when Stunned","被诅咒的敌人晕眩时获得 {0} 点怒火"
"Grants a random Divination Buff for {0} seconds when Used","使用时获得一个随机命运增益效果，持续 {0} 秒"
"Only affects Passives in Very Small Ring(Very Small-Massive Ring)",只影响极小环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Small Ring(Very Small-Massive Ring)",只影响小型环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Medium-Small Ring(Very Small-Massive Ring)",只影响中小环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Medium Ring(Very Small-Massive Ring)",只影响中型环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Medium-Large Ring(Very Small-Massive Ring)",只影响中大环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Large Ring(Very Small-Massive Ring)",只影响大型环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Very Large Ring(Very Small-Massive Ring)",只影响极大环形范围内的天赋（极小-巨大环形范围）
"Only affects Passives in Massive Ring(Very Small-Massive Ring)",只影响巨大环形范围内的天赋（极小-巨大环形范围）
"{0}% increased Magnitude of Non-Damaging Ailments you inflict per {1} Devotion","每 {1} 点奉献使你造成的非伤害性异常状态强度提高 {0}%"
"{0}% reduced Magnitude of Non-Damaging Ailments you inflict per {1} Devotion","每 {1} 点奉献使你造成的非伤害性异常状态强度降低 {0}%"
"Zarokh, the Temporal drops Blessed Bonds",扎洛卡，时空之灵会掉落蒙福的羁绊
"Zarokh, the Temporal drops Against the Darkness",扎洛卡，时空之灵会掉落抗衡黑暗
"Gain {0} Sacred Water when you complete a Room","当你完成一个房间时获得 {0} 圣水"
"{0}% to all Maximum Resistances","{0}% 全部抗性上限"
"Zarokh, the Temporal deals {0}% more Damage","扎洛卡，时空之灵造成的伤害总增 {0}%"
"Zarokh, the Temporal deals {0}% less Damage","扎洛卡，时空之灵造成的伤害总降 {0}%"
"Zarokh, the Temporal takes {0}% more Damage","扎洛卡，时空之灵受到的伤害总增 {0}%"
"Zarokh, the Temporal takes {0}% less Damage","扎洛卡，时空之灵受到的伤害总降 {0}%"
"Zarokh, the Temporal drops an additional Barya",扎洛卡，时空之灵额外掉落一个巴雅
"Zarokh, the Temporal drops {0} additional Baryas","扎洛卡，时空之灵额外掉落 {0} 个巴雅"
"Monsters deal {0}% reduced Damage","怪物造成的伤害降低 {0}%"
"Hits against you have {0}% reduced Critical Damage Bonus","对你的击中的暴击伤害加成降低 {0}%"
"Hits against you have {0}% increased Critical Damage Bonus","对你的击中的暴击伤害加成提高 {0}%"
"{0}% increased Slowing Potency of Debuffs on You","你受到的异常状态的减速强度提高 {0}%"
"{0}% reduced Slowing Potency of Debuffs on You","你受到的异常状态的减速强度降低 {0}%"
"{0}% increased Defences","防御提高 {0}%"
"{0}% reduced Defences","防御降低 {0}%"
"Your Defences are zero",你的防御属性为零
"{0} metre to Dodge Roll distance","闪避翻滚距离 {0} 米"
"{0} metres to Dodge Roll distance","闪避翻滚距离 {0} 米"
"{0}% increased chance to avoid Honour loss from Enemy Melee Hits","被敌人近战击中时避免失去荣誉的几率提高 {0}%"
"{0}% decreased chance to avoid Honour loss from Enemy Melee Hits","被敌人近战击中时避免失去荣誉的几率降低 {0}%"
"Zarokh, the Temporal drops Temporalis",扎洛卡，时空之灵会掉落时空之肌
"Zarokh, the Temporal drops Sekhema's Resolve",扎洛卡，时空之灵会掉落丝克玛的决心
"Zarokh, the Temporal drops Sandstorm Visage",扎洛卡，时空之灵会掉落禁域面容
"Bosses deal {0}% increased Damage","首领造成的伤害提高 {0}%"
"Bosses deal {0}% reduced Damage","首领造成的伤害降低 {0}%"
"Rare Monsters take {0}% increased Damage","稀有怪物受到的伤害提高 {0}%"
"Rare Monsters take {0}% reduced Damage","稀有怪物受到的伤害降低 {0}%"
"Rare Monsters deal {0}% increased Damage","稀有怪物造成的伤害提高 {0}%"
"Rare Monsters deal {0}% reduced Damage","稀有怪物造成的伤害降低 {0}%"
"{0}% increased quantity of Keys dropped by Monsters","怪物掉落的钥匙数量提高 {0}%"
"{0}% reduced quantity of Keys dropped by Monsters","怪物掉落的钥匙数量降低 {0}%"
"{0}% increased quantity of Relics dropped by Monsters","怪物掉落的遗物数量提高 {0}%"
"{0}% reduced quantity of Relics dropped by Monsters","怪物掉落的遗物数量降低 {0}%"
"Traps deal {0}% increased Damage","陷阱造成的伤害提高 {0}%"
"Traps deal {0}% reduced Damage","陷阱造成的伤害降低 {0}%"
"When you gain a Key {0}% chance to gain another","当你获得钥匙时，有 {0}% 的几率再获得一把"
"When you gain a Key gain another",当你获得钥匙时，再获得一把
"{0}% to Maximum Honour Resistance","荣誉抗性上限 {0}%"
"Cannot restore Honour",无法恢复荣誉
"{0}% chance if you were to lose all your Honour to have {1} Honour instead","如果你即将失去所有荣誉，有 {0}% 的几率改为保留 {1} 点荣誉"
"{0}% chance for each of your Keys to upgrade on completing a Floor","完成一个楼层时，你的每一把钥匙有 {0}% 的几率升级"
"Your Keys to upgrade on completing a Floor",完成一个楼层时，你的每一把钥匙升级
"Fountains have {0}% chance to grant double Sacred Water","喷泉有 {0}% 的几率提供双倍圣水"
"Rooms are unknown on the Trial Map",试炼地图上的房间变为未知
"{0}% to Honour Resistance","荣誉抗性 {0}%"
"{0}% increased Honour restored","恢复的荣誉提高 {0}%"
"{0}% reduced Honour restored","恢复的荣誉降低 {0}%"
"Damage taken cannot be Absorbed",受到的伤害无法被吸收
"An additional Room is revealed on the Trial Map",试炼地图上揭晓一个额外的房间
"{0} additional Rooms are revealed on the Trial Map","试炼地图上揭晓 {0} 个额外的房间"
"{0}% increased maximum Honour","荣誉上限提高 {0}%"
"{0}% reduced maximum Honour","荣誉上限降低 {0}%"
"Maximum Honour is {0}","荣誉上限为 {0}"
"Monsters have {0}% chance to drop double Sacred Water","怪物有 {0}% 的几率掉落双倍圣水"
"Restore {0} Honour on killing a Boss","击败首领时恢复 {0} 荣誉"
"Restore {0} Honour on venerating a Maraketh Shrine","敬拜马拉克斯神龛时恢复 {0} 荣誉"
"Restore {0} Honour on picking up a Key","拾取钥匙时恢复 {0} 荣誉"
"Restore {0} Honour on room completion","完成房间时恢复 {0} 荣誉"
"Gain {0} Sacred Water at the start of the Trial","试炼开始时获得 {0} 圣水"
"Cannot be used with Trials below level {0}","无法在等级低于 {0} 的试炼中使用"
"This item is destroyed when applied to a Trial",对试炼使用时摧毁该物品
"Empowered by Molten Gold",熔金强化
"{0}% more Slowing Potency of Debuffs on me","自身受到的异常状态的减速强度总增 {0}%"
"{0}% less Slowing Potency of Debuffs on me","自身受到的异常状态的减速强度总降 {0}%"
"Sacrifices {0}% of Minion's life to deal that much Chaos damage","献祭 {0}% 召唤生物生命，并造成等量混沌伤害"
"Chaos damage@{0} – {1}","混沌伤害@{0} – {1}"
"Explosion deals base Fire Damage equal to {0}% of the Corpse's Maximum Life",爆炸造成的基础火焰伤害等于灵柩生命上限的{0}%
"Physical damage from Corpse Life@{0}%",灵柩生命的物理伤害@{0}%
"Deals Physical damage equal to {0}% of","造成相当于灵柩生命上限 {0}% 的"
"Corpse's maximum Life",物理伤害
"Modifiers to Spell Damage apply to Debuff's Damage over Time",法术伤害词缀会作用于减益的持续伤害
"{0} metres to wave length for each wave in the Sequence","序列中每道冲击波都使冲击波长度 {0} 米"
"Leech {0}% of Physical Attack Damage as Life","物理攻击伤害的 {0}% 转化为生命偷取"
"Knockback chance@{0}%",击退几率@{0}%
"{0}% chance to Knock Enemies Back on Hit","击中时有 {0}% 的几率击退敌人"
"{0}% increased Aura Magnitudes","光环强度提高 {0}%"
"{0}% reduced Aura Magnitudes","光环强度降低 {0}%"
"Echo count@{0}",回响次数@{0}
"Targets Pierced@{0}",穿透目标数@{0}
"Projectiles Pierce {0} target","投射物穿透 {0} 个目标"
"Projectiles Pierce {0} targets","投射物穿透 {0} 个目标"
"Projectiles Pierce all targets",投射物穿透所有目标
"Projectile speed modifier@{0}%",投射物速度修正@{0}%
"Hits are Freezing",击中造成冻结
"{0}% chance for Hits to be Freezing","击中有 {0}% 的几率造成冻结"
"Hits are Pinning",击中造成定身
"{0}% more Magnitude of Chill inflicted","造成的冰缓强度总增 {0}%"
"{0}% less Magnitude of Chill inflicted","造成的冰缓强度总降 {0}%"
"{0}% increased Magnitude of Chill inflicted","造成的冰缓强度提高 {0}%"
"{0}% reduced Magnitude of Chill inflicted","造成的冰缓强度降低 {0}%"
"{0}% increased Shock Duration","感电持续时间提高 {0}%"
"{0}% reduced Shock Duration","感电持续时间降低 {0}%"
"{0}% increased Critical Hit Chance","暴击率提高 {0}%"
"{0}% reduced Critical Hit Chance","暴击率降低 {0}%"
"Grants {0}% increased Critical Hit Chance","赋予暴击率提高 {0}%"
"Grants {0}% reduced Critical Hit Chance","赋予暴击率降低 {0}%"
"{0}% more Critical Hit Chance","暴击率总增 {0}%"
"{0}% less Critical Hit Chance","暴击率总降 {0}%"
"{0}% increased Critical Damage Bonus","暴击伤害加成提高 {0}%"
"{0}% reduced Critical Damage Bonus","暴击伤害加成降低 {0}%"
"{0}% to Critical Damage Bonus while Elusive","灵巧效果下，{0}% 暴击伤害加成"
"Withered duration@{0}s","死亡凋零持续时间@{0} 秒"
"Stronger Pulses always Critical Hit",强力脉冲必定暴击
"Chaos damage per second@{0}",每秒混沌伤害@{0}
"Physical damage per second@{0}",每秒物理伤害@{0}
"Cold damage per second@{0}",每秒冰霜伤害@{0}
"Fire damage per second@{0}",每秒火焰伤害@{0}
"{0}% increased Stun Recovery","晕眩回复提高 {0}%"
"{0}% reduced Stun Recovery","晕眩回复降低 {0}%"
"Ignites caused by this Skill spread to other Enemies that stay within {0} metre for {1} second","此技能造成的点燃传播给在 {0} 米内停留 {1} 秒的其他敌人"
"Ignites caused by this Skill spread to other Enemies that stay within {0} metres for {1} second","此技能造成的点燃传播给在 {0} 米内停留 {1} 秒的其他敌人"
"Ignites caused by this Skill spread to other Enemies that stay within {0} metre for {1} seconds","此技能造成的点燃传播给在 {0} 米内停留 {1} 秒的其他敌人"
"Ignites caused by this Skill spread to other Enemies that stay within {0} metres for {1} seconds","此技能造成的点燃传播给在 {0} 米内停留 {1} 秒的其他敌人"
"Totem Limit@{0}",图腾上限@{0}
"Totem duration@{0}s",图腾持续时间@{0}s
"Hits Freeze as though dealing {0}% more Damage","击中造成相当于伤害总增 {0}% 的冻结效果"
"Regenerate {0}% of maximum Life per second","生命每秒再生 {0}%"
"Second form has {0}% increased Critical Hit Chance","第二型态的暴击率提高 {0}%"
"Second form has {0}% reduced Critical Hit Chance","第二型态的暴击率降低 {0}%"
"Second form has {0}% to Critical Damage Bonus","第二形态 {0}% 攻击暴击伤害加成"
"{0}% chance to Blind enemies on Hit","击中敌人时有 {0}% 的几率致盲敌人"
"Blind enemies on Hit",击中时致盲敌人
"Uses your life if no Minion in range",若附近没有召唤生物，则消耗你的生命
"{0}% more damage with Hits if using your life","若消耗你的生命，造成的击中伤害总增 {0}%"
"Projectile Split targets@{0}",投射物分裂目标数@{0}
"Projectile Return chance@{0}%",投射物归返几率@{0}%
"{0}% more Damage with Hits for each stage","每层使击中伤害总增 {0}%"
"{0}% less Damage with Hits for each stage","每层使击中伤害总降 {0}%"
"{0}% chance to gain a Power Charge on Critical Hit","暴击时有 {0}% 的几率获得暴击球"
"Gain a Power Charge on Critical Hit",暴击时获得暴击球
"Additional Strikes per Power Charge@{0}",每个暴击球额外打击次数@{0}
"Teleports and Strikes {0} additional time per Power Charge, with {1}% more Attack Speed","每个暴击球可额外传送并打击 {0} 次，攻击速度总增 {1}%"
"Teleports and Strikes {0} additional times per Power Charge, with {1}% more Attack Speed","每个暴击球可额外传送并打击 {0} 次，攻击速度总增 {1}%"
"More damage per Stage@{0}%",每层使伤害总增@{0}%
"{0}% more damage per Stage","每层使伤害总增 {0}%"
"{0}% less Damage per stage","每层使伤害总降 {0}%"
"{0}% increased Curse Magnitudes","诅咒强度提高 {0}%"
"{0}% reduced Curse Magnitudes","诅咒强度降低 {0}%"
"{0}% more Damage with Hits against Stunned enemies","对晕眩的敌人造成的击中伤害总增 {0}%"
"{0}% less Damage with Hits against Stunned enemies","对晕眩的敌人造成的击中伤害总降 {0}%"
"{0}% increased Damage with Hits against Burning Enemies","对燃烧的敌人造成的击中伤害提高 {0}%"
"{0}% reduced Damage with Hits against Burning Enemies","对燃烧的敌人造成的击中伤害降低 {0}%"
"Explosion deals {0}% more Damage with Hits","爆炸造成的击中伤害总增 {0}%"
"Explosion deals {0}% less Damage with Hits","爆炸造成的击中伤害总降 {0}%"
"Golems Grant {0}% increased Critical Hit Chance","魔像会使玩家的暴击率提高 {0}%"
"Golems Grant {0}% reduced Critical Hit Chance","魔像会使玩家的暴击率降低 {0}%"
"{0}% more Damage with Hits per Repeat","每次重复造成的击中伤害总增 {0}%"
"{0}% less Damage with Hits per Repeat","每次重复造成的击中伤害总降 {0}%"
"More Melee Physical damage vs Bleeding enemies@{0}%",对流血敌人的近战物理伤害总增@{0}%
"{0}% more Melee Physical damage vs Bleeding enemies","对流血敌人的近战物理伤害总增 {0}%"
"{0}% less Melee Physical damage vs Bleeding enemies","对流血敌人的近战物理伤害总降 {0}%"
